Date,Flow_0h,Flow_1h_P,Flow_2h_P,Rain_1h_P,Rain_2h_P,Level_0h,Level_1h_P,Level_2h_P,Level_2h_F,Level_change
202008010200,55.256,1.24,0.696,2,2.4,0.42,-0.01,-0.01,0.51,0.09
202008010210,55.184,2.614,1.928,2.4,2.8,0.42,-0.01,-0.01,0.51,0.09
202008010220,55.016,6.032,5.704,1.8,3,0.42,-0.01,-0.01,0.51,0.09
202008010230,54.96,12.5,12.484,2.2,3.4,0.43,0,0,0.51,0.08
202008010240,54.856,23.112,23.576,2,3.6,0.43,0,0,0.5,0.07
202008010250,54.714,37.35,38.486,2.8,4.4,0.44,0.02,0.01,0.5,0.06
202008010300,54.928,55.548,56.788,3.2,5.2,0.45,0.03,0.02,0.49,0.04
202008010310,55.168,75.042,77.656,3.6,6,0.47,0.05,0.04,0.49,0.02
202008010320,55.48,95.006,101.038,5,6.8,0.48,0.06,0.05,0.49,0.01
202008010330,56.096,114.602,127.102,6,8.2,0.49,0.06,0.06,0.49,0
202008010340,56.096,130.144,153.256,6.2,8.2,0.5,0.07,0.07,0.48,-0.02
202008010350,57.328,139.796,177.146,6,8.8,0.51,0.07,0.09,0.48,-0.03
202008010400,60.96,143.896,199.444,6.2,9.4,0.51,0.06,0.09,0.48,-0.03
202008010410,67.668,141.378,216.42,6,9.6,0.51,0.04,0.09,0.48,-0.03
202008010420,78.592,134.452,229.458,4.6,9.6,0.51,0.03,0.09,0.48,-0.03
202008010430,93.446,123.44,238.042,3.2,9.2,0.51,0.02,0.08,0.48,-0.03
202008010440,111.644,108.846,238.99,3,9.2,0.5,0,0.07,0.48,-0.02
202008010450,132.37,93.352,233.148,2.8,8.8,0.5,-0.01,0.06,0.5,0
202008010500,155.966,79.98,223.876,2.2,8.4,0.49,-0.02,0.04,0.52,0.03
202008010510,182.27,68.212,209.59,1.6,7.6,0.49,-0.02,0.02,0.54,0.05
202008010520,208.736,57.79,192.242,1.2,5.8,0.49,-0.02,0.01,0.58,0.09
202008010530,233.242,47.748,171.188,1,4.2,0.49,-0.02,0,0.62,0.13
