시간,군남방류,한탄강방류,방류량합계,임진수위,삼화수위,비룡수위,통일수위
202008010000 ,49.7,5.7,55.4,0.03,3.25,0.43,0.52
202008010010 ,49.7,5.7,55.4,0.03,3.24,0.43,0.51
202008010020 ,49.7,5.556,55.256,0.03,3.24,0.43,0.51
202008010030 ,49.7,5.484,55.184,0.03,3.24,0.43,0.49
202008010040 ,49.7,5.316,55.016,0.03,3.24,0.43,0.49
202008010050 ,49.7,5.26,54.96,0.03,3.24,0.43,0.48
202008010100 ,49.7,5.156,54.856,0.03,3.24,0.43,0.47
202008010110 ,49.7,5.014,54.714,0.03,3.24,0.43,0.46
202008010120 ,49.7,5.228,54.928,0.03,3.24,0.43,0.45
202008010130 ,49.7,5.468,55.168,0.03,3.24,0.43,0.44
202008010140 ,49.7,5.78,55.48,0.03,3.24,0.43,0.44
202008010150 ,49.7,6.396,56.096,0.03,3.24,0.42,0.43
202008010200 ,49.7,6.396,56.096,0.03,3.24,0.42,0.43
202008010210 ,51.1,6.228,57.328,0.03,3.24,0.42,0.42
202008010220 ,55.02,5.94,60.96,0.03,3.24,0.42,0.41
202008010230 ,61.88,5.788,67.668,0.03,3.24,0.43,0.41
202008010240 ,72.94,5.652,78.592,0.03,3.24,0.43,0.4
202008010250 ,87.85,5.596,93.446,0.03,3.24,0.44,0.4
202008010300 ,106.12,5.524,111.644,0.03,3.24,0.45,0.4
202008010310 ,126.91,5.46,132.37,0.03,3.23,0.47,0.39
202008010320 ,150.57,5.396,155.966,0.03,3.24,0.48,0.39
202008010330 ,176.89,5.38,182.27,0.03,3.24,0.49,0.38
202008010340 ,203.42,5.316,208.736,0.04,3.25,0.5,0.39
202008010350 ,227.99,5.252,233.242,0.07,3.26,0.51,0.51
202008010400 ,250.32,5.22,255.54,0.11,3.26,0.51,0.67
202008010410 ,268.45,5.298,273.748,0.19,3.26,0.51,0.85
202008010420 ,284.83,5.588,290.418,0.29,3.26,0.51,1.08
202008010430 ,299.53,6.18,305.71,0.4,3.26,0.51,1.32
202008010440 ,310.66,6.922,317.582,0.52,3.26,0.5,1.53
202008010450 ,319.9,6.694,326.594,0.62,3.26,0.5,1.72
202008010500 ,328.86,6.66,335.52,0.7,3.27,0.49,1.89
202008010510 ,335.3,6.66,341.96,0.77,3.27,0.49,2.01
202008010520 ,341.74,6.468,348.208,0.83,3.28,0.49,2.09
202008010530 ,346.99,6.468,353.458,0.88,3.29,0.49,2.17
202008010540 ,351.68,6.396,358.076,0.92,3.31,0.48,2.22
202008010550 ,355.6,6.444,362.044,0.96,3.34,0.48,2.25
202008010600 ,358.68,6.386,365.066,0.99,3.38,0.48,2.26
202008010610 ,361.48,6.42,367.9,1.01,3.45,0.48,2.25
202008010620 ,364,6.42,370.42,1.04,3.53,0.48,2.23
202008010630 ,366.24,6.612,372.852,1.06,3.61,0.48,2.16
202008010640 ,368.55,6.66,375.21,1.08,3.71,0.48,2.1
202008010650 ,370.3,6.708,377.008,1.09,3.82,0.5,2.02
202008010700 ,372.26,6.972,379.232,1.11,3.94,0.52,1.94
202008010710 ,373.1,7.14,380.24,1.12,4.03,0.54,1.93
202008010720 ,375.34,7.38,382.72,1.13,4.13,0.58,1.91
202008010730 ,375.9,7.572,383.472,1.14,4.21,0.62,1.88
202008010740 ,378.14,7.942,386.082,1.15,4.29,0.67,1.87
202008010750 ,378.7,8.244,386.944,1.15,4.35,0.73,1.84
202008010800 ,379.26,8.58,387.84,1.16,4.42,0.79,1.8
202008010810 ,381.5,8.884,390.384,1.16,4.46,0.84,1.75
202008010820 ,381.5,8.888,390.388,1.17,4.52,0.9,1.72
202008010830 ,381.5,9.268,390.768,1.17,4.56,0.95,1.68
202008010840 ,381.5,9.508,391.008,1.18,4.6,1,1.64
202008010850 ,382.2,9.5,391.7,1.18,4.64,1.05,1.61
202008010900 ,385,9.668,394.668,1.18,4.67,1.09,1.58
202008010910 ,385,9.778,394.778,1.19,4.71,1.13,1.54
202008010920 ,385,9.928,394.928,1.2,4.73,1.17,1.52
202008010930 ,386.96,10.048,397.008,1.22,4.78,1.21,1.5
202008010940 ,387.8,10.072,397.872,1.23,4.8,1.25,1.47
202008010950 ,388.64,10.26,398.9,1.24,4.83,1.3,1.45
202008011000 ,390.6,10.471,401.071,1.26,4.88,1.33,1.43
202008011010 ,390.6,10.948,401.548,1.27,4.92,1.37,1.4
202008011020 ,391.72,11.762,403.482,1.28,4.94,1.4,1.38
202008011030 ,393.4,12.343,405.743,1.28,4.97,1.43,1.35
202008011040 ,396.9,12.304,409.204,1.28,5,1.45,1.34
202008011050 ,398.02,12.721,410.741,1.28,5.03,1.47,1.33
202008011100 ,400.05,12.846,412.896,1.28,5.07,1.5,1.31
202008011110 ,403.2,13.359,416.559,1.28,5.11,1.53,1.29
202008011120 ,404.04,13.31,417.35,1.29,5.13,1.57,1.3
202008011130 ,406,13.456,419.456,1.3,5.19,1.61,1.3
202008011140 ,408.24,14.146,422.386,1.31,5.23,1.65,1.29
202008011150 ,410.55,14.959,425.509,1.31,5.26,1.69,1.3
202008011200 ,413.7,15.618,429.318,1.32,5.3,1.73,1.3
202008011210 ,417.06,16.096,433.156,1.32,5.33,1.76,1.3
202008011220 ,420.91,17.061,437.971,1.32,5.36,1.79,1.31
202008011230 ,424.9,17.432,442.332,1.33,5.39,1.82,1.32
202008011240 ,427.7,18.84,446.54,1.33,5.43,1.85,1.33
202008011250 ,430.22,20.265,450.485,1.33,5.46,1.87,1.33
202008011300 ,433.65,22.718,456.368,1.33,5.51,1.89,1.34
202008011310 ,437.92,25.831,463.751,1.34,5.54,1.91,1.34
202008011320 ,442.61,28.012,470.622,1.34,5.56,1.93,1.35
202008011330 ,449.47,30.425,479.895,1.34,5.6,1.95,1.36
202008011340 ,458.43,31.514,489.944,1.35,5.63,1.97,1.37
202008011350 ,469.91,32.247,502.157,1.35,5.65,1.99,1.38
202008011400 ,481.18,33.536,514.716,1.37,5.68,2.01,1.4
202008011410 ,491.26,36.514,527.774,1.38,5.7,2.03,1.41
202008011420 ,502.74,38.996,541.736,1.39,5.72,2.04,1.42
202008011430 ,521.22,41.369,562.589,1.41,5.74,2.06,1.44
202008011440 ,543.83,43.88,587.71,1.42,5.77,2.07,1.45
202008011450 ,561.54,46.976,608.516,1.43,5.8,2.09,1.46
202008011500 ,580.86,48.763,629.623,1.42,5.83,2.1,1.48
202008011510 ,597.03,51.941,648.971,1.42,5.86,2.11,1.49
202008011520 ,611.94,56.408,668.348,1.42,5.88,2.13,1.5
202008011530 ,625.52,60.422,685.942,1.43,5.91,2.14,1.52
202008011540 ,639.256,63.977,703.233,1.45,5.94,2.16,1.53
202008011550 ,650.16,74.533,724.693,1.47,5.96,2.17,1.55
202008011600 ,661.5,82.635,744.135,1.48,5.98,2.19,1.57
202008011610 ,671.44,91.927,763.367,1.5,6,2.2,1.58
202008011620 ,680.68,105.342,786.022,1.52,6.02,2.22,1.63
202008011630 ,689.57,117.897,807.467,1.54,6.05,2.23,1.69
202008011640 ,697.48,125.016,822.496,1.56,6.07,2.24,1.78
202008011650 ,704.69,137.751,842.441,1.57,6.1,2.25,1.9
202008011700 ,711.48,139.1,850.58,1.59,6.12,2.26,2.04
202008011710 ,718.34,146.294,864.634,1.6,6.15,2.27,2.17
202008011720 ,723.94,151.974,875.914,1.62,6.17,2.29,2.28
202008011730 ,766.37,147.448,913.818,1.62,6.2,2.3,2.37
202008011740 ,768.46,143.491,911.951,1.64,6.23,2.31,2.44
202008011750 ,771.12,146.339,917.459,1.66,6.26,2.33,2.49
202008011800 ,773.64,144.63,918.27,1.68,6.28,2.34,2.51
202008011810 ,776.3,142.878,919.178,1.7,6.31,2.36,2.53
202008011820 ,778.4,142.652,921.052,1.72,6.34,2.37,2.53
202008011830 ,780.78,138.475,919.255,1.73,6.37,2.39,2.52
202008011840 ,782.11,132.285,914.395,1.74,6.39,2.4,2.51
202008011850 ,783.72,130.182,913.902,1.74,6.43,2.41,2.48
202008011900 ,785.4,125.226,910.626,1.75,6.45,2.43,2.45
202008011910 ,786.38,122.393,908.773,1.76,6.48,2.44,2.41
202008011920 ,787.92,124.007,911.927,1.76,6.52,2.46,2.37
202008011930 ,788.9,114.063,902.963,1.77,6.54,2.48,2.35
202008011940 ,790.02,104.622,894.642,1.77,6.57,2.49,2.32
202008011950 ,790.3,108.401,898.701,1.77,6.59,2.51,2.29
202008012000 ,791.56,108.121,899.681,1.78,6.61,2.53,2.26
202008012010 ,791.84,104.865,896.705,1.78,6.64,2.54,2.25
202008012020 ,793.1,109.262,902.362,1.78,6.65,2.56,2.23
202008012030 ,793.1,97.283,890.383,1.78,6.67,2.57,2.22
